,Unnamed: 0,id,thread_number,timestamp,text,retweets,likes,replies,url,full_text
0,0,998968203681427458,Thread 1,1527007554,"1) WE HAVE A BREAKING FREAKING STORY HERE

FROM THE CONSERVATIVE

UNDERGROUND

NEWS OF

TWITTER https://t.co/SjzJKhFRQ0",335,679,94,https://t.co/SjzJKhFRQ0,"1)
WE HAVE A BREAKING FREAKING STORY HERE
FROM THE CONSERVATIVE
UNDERGROUND
NEWS OF
TWITTER"
1,1,998968303136727041,Thread 1,1527007578,2) I AM SO EXCITE I MIGHT NOT EVEN SWEAR OR GO BACK TO CORRECT EXCITE TO EXCITED,60,294,13,,"2)
I AM SO EXCITE I MIGHT NOT EVEN SWEAR OR GO BACK TO CORRECT EXCITE TO EXCITED"
2,2,998968508225589249,Thread 1,1527007626,"3) CNN, AP, and MSNBC....",120,291,5,,"3)
CNN, AP, and MSNBC...."
3,3,998968614509273088,Thread 1,1527007652,4) HAVE JUST BEEN RAIDED BY THE FCC https://t.co/cIm0Utm6Tg,174,465,39,https://t.co/cIm0Utm6Tg,"4)
HAVE JUST BEEN RAIDED BY THE FCC"
4,4,998969018781523975,Thread 1,1527007748,5) My one source inside one of these networks has informed me that the FCC has arrived and has seized all kinds ofÃ¢?Â¦ https://t.co/QlFCajkCW5,242,558,18,https://t.co/QlFCajkCW5,"5)
My one source inside one of these networks has informed me that the FCC has arrived and has seized all kinds of document as part of their investigation, including all of the source data the networks were using for their stories."
5,5,998969261837225985,Thread 1,1527007806,"6) The allegations are about violating press guidelines, apparently.",119,374,8,,"6)
The allegations are about violating press guidelines, apparently."
6,6,998969661021618176,Thread 1,1527007901,"7) This includes, according to my source inside a certain fake news network, the printing of blatant lies, the publÃ¢?Â¦ https://t.co/3Oor7pmQhk",139,419,6,https://t.co/3Oor7pmQhk,"7)
This includes, according to my source inside a certain fake news network, the printing of blatant lies, the publishing and promotion of stories which require immediate retractions while not promoting the retractions"
7,7,998969951498186752,Thread 1,1527007971,8) I am going to try to find independent confirmation of this. I'm just getting this news now and got permission frÃ¢?Â¦ https://t.co/qRth6tSIud,99,355,5,https://t.co/qRth6tSIud,"8)
I am going to try to find independent confirmation of this. I'm just getting this news now and got permission from my source before posting it."
8,8,998970045526106112,Thread 1,1527007993,9) Until then.... https://t.co/RjRU3lHpqy,81,381,19,https://t.co/RjRU3lHpqy,"9)
Until then...."
9,9,998972414569697280,Thread 1,1527008558,"CONTINUED 10) Still working on finding any documented or independent verification on this, but here's what I've fouÃ¢?Â¦ https://t.co/5o8OtV4s86",128,322,8,https://t.co/5o8OtV4s86,"CONTINUED 10) Still working on finding any documented or independent verification on this, but here's what I've found on the FCC site that is tangentially related
fcc.gov/consumers/guid…"
